V1	probe_id
1	SYPL1	201259_s_at
2	NTRK3	206462_s_at
3	CPLX2	206368_at
4	PLA2G4A	210145_at
5	DHFR	202532_s_at
6	KIF23	204709_s_at
7	MCM5	201755_at
8	NCAPG2	219588_s_at
9	EGR1	201693_s_at
10	DDX21	208152_s_at
11	STMN1	200783_s_at
12	PHGDH	201397_at
13	DNAJC9	213088_s_at
14	KIF20A	218755_at
15	FANCI	213007_at
16	TPX2	210052_s_at
17	PBK	219148_at
18	HJURP	218726_at
19	PCK2	202847_at
22	SPAG5	203145_at
24	CCNA2	203418_at
25	TMBIM6	200803_s_at
26	DLGAP5	203764_at
27	ANP32E	208103_s_at
28	NUCKS1	217802_s_at
29	ZWINT	204026_s_at
30	SPDEF	213441_x_at
31	WDR76	205519_at
32	FHL1	201539_s_at
33	RUNX3	204197_s_at
34	MCM6	201930_at
35	CELSR1	204539_s_at
36	CADM1	209030_s_at
37	SHCBP1	219493_at
38	CSGALNACT1	219049_at
39	IGFBP4	201508_at
40	TESC	218872_at
41	CDK1	203213_at
42	HELLS	220085_at
43	MCM7	208795_s_at
45	LMNB1	203276_at
46	KIF4A	218355_at
48	PTPRJ	210173_at
50	RACGAP1	222077_s_at
52	MELK	204825_at
53	SH3GL1	201851_at
54	KIF22	202183_s_at
55	RRM1	201476_s_at
56	DSN1	219512_at
57	MCM10	220651_s_at
58	KIFC1	209680_s_at
59	ATAD2	218782_s_at
60	AKAP12	210517_s_at
61	KIF11	204444_at
62	TPM1	206116_s_at
63	OAS3	218400_at
64	BUB1	209642_at
65	CDC6	203967_at
66	NEK2	204641_at
67	TDG	203742_s_at
68	UNC13A	214817_at
69	POLA1	204835_at
71	LTBP4	204442_x_at
72	FOXM1	202580_x_at
73	SEMA6B	220778_x_at
74	TOP2A	201291_s_at
75	MCAM	209086_x_at
76	USP1	202412_s_at
77	CPNE3	202118_s_at
78	HMMR	207165_at
79	CEP55	218542_at
80	PAFAH1B2	210160_at
81	RASSF2	203185_at
82	MCM3	201555_at
83	PTBP1	202189_x_at
86	GINS4	211767_at
87	BUB1B	203755_at
88	YWHAZ	200638_s_at
89	PLK1	202240_at
91	EZH2	203358_s_at
93	CLSPN	219621_at
94	CDC45	204126_s_at
95	TIMELESS	203046_s_at
96	HNRNPK	200097_s_at
97	SMC2	204240_s_at
99	RFC5	203209_at
100	CNKSR2	206731_at
101	CENPU	218883_s_at
103	FASTKD5	219016_at
104	DTL	218585_s_at
105	MCM2	202107_s_at
108	RFC3	204127_at
109	KIF2C	209408_at
110	DSP	200606_at
111	CACNA1H	205845_at
112	WDR62	215218_s_at
113	RRM2	201890_at
115	PSAT1	220892_s_at
116	NCAPH	212949_at
117	PRPF3	202251_at
118	WDHD1	204727_at
119	SIRT1	218878_s_at
120	CRIM1	202551_s_at
121	PHLDB1	212134_at
122	TFRC	207332_s_at
123	QRICH1	209174_s_at
124	EXO1	204603_at
125	C3orf14	219288_at
126	CSE1L	201111_at
127	AREG	205239_at
130	MTA2	203444_s_at
131	DNA2	213647_at
132	ALX4	208330_at
133	ORC1	205085_at
135	KIF21B	204411_at
136	ARHGAP11A	204492_at
137	CENPF	207331_at
139	DNMT1	201697_s_at
140	XPOT	212160_at
141	MSH6	202911_at
142	HMGB1	200679_x_at
143	CIT	212801_at
144	TROAP	204649_at
145	NRP1	210510_s_at
146	TGFB1	203084_at
147	GADD45B	207574_s_at
148	POLD3	212836_at
149	NCAPG	218662_s_at
150	ESPL1	204817_at
151	BLM	205733_at
152	FKBP5	204560_at
153	PLK4	204886_at
155	TRIP13	204033_at
156	MUC5AC	214303_x_at
157	NUP50	213682_at
158	CDCA3	221436_s_at
159	UBE2V2	209096_at
160	USP22	200083_at
161	ERCC6L	219650_at
162	BRCA1	204531_s_at
164	DEK	200934_at
165	GINS2	221521_s_at
166	CCNB2	202705_at
167	JADE1	218517_at
168	PAWR	204004_at
169	CCDC106	207006_s_at
170	RFC4	204023_at
173	CCNB1	214710_s_at
174	E2F8	219990_at
175	MCM4	212141_at
176	DIAPH3	220997_s_at
177	SKA1	217640_x_at
178	EDEM3	220342_x_at
179	KCTD15	218553_s_at
180	KIF14	206364_at
181	TUBA1B	201090_x_at
182	TUBB	209026_x_at
183	SMC3	209257_s_at
186	SLC1A4	209610_s_at
188	WEE1	212533_at
189	IDH2	210045_at
190	CBX1	201518_at
191	COCH	205229_s_at
193	ADCY9	204497_at
194	ARMC1	218185_s_at
195	KIF18B	222039_at
196	CYP24A1	206504_at
198	SFRP1	202035_s_at
199	XRCC5	208642_s_at
200	SEMA3F	206832_s_at
201	CDT1	209832_s_at
202	KIF20B	205235_s_at
204	RBMS1	203748_x_at
205	PSIP1	205961_s_at
206	NASP	201969_at
207	PMP22	210139_s_at
208	CENPN	219555_s_at
209	TAF9B	221616_s_at
210	TOPBP1	202633_at
211	PCNA	201202_at
212	MARS1	201475_x_at
213	KNTC1	206316_s_at
215	ID1	208937_s_at
217	ARPIN	217548_at
218	FEN1	204767_s_at
219	BIRC5	202094_at
