V1	probe_id
2	KRT19	201650_at
3	CTSB	200838_at
4	MUC13	218687_s_at
5	CPA4	205832_at
6	IGFBP5	203424_s_at
7	MFGE8	210605_s_at
9	SGK1	201739_at
11	LBH	221011_s_at
12	LAMA4	202202_s_at
13	EHF	219850_s_at
15	GCNT3	219508_at
16	CDKN1A	202284_s_at
17	MXD4	210778_s_at
18	SLC16A4	205234_at
19	ALDH1B1	209645_s_at
20	CD70	206508_at
21	MDM2	205385_at
22	GPRC5A	203108_at
23	C1orf116	219476_at
24	FGA	205649_s_at
26	LGALS3BP	200923_at
27	ITGB4	204989_s_at
29	NEFL	221801_x_at
30	PLEKHM1	212700_x_at
31	MELTF	220043_s_at
32	CDH5	204677_at
33	DHCR24	200862_at
34	CTSL	202087_s_at
35	C3	217767_at
37	ANKRD1	206029_at
38	ADAM23	206046_at
39	LTBP2	204682_at
40	PAPSS2	203058_s_at
41	FBN2	203184_at
42	THBD	203887_s_at
43	DNM3	209839_at
44	DIO2	203699_s_at
45	GPX2	202831_at
46	CD59	200983_x_at
47	ABCA1	203504_s_at
50	SERPINB7	206421_s_at
51	SLC46A3	214719_at
52	MMP7	204259_at
53	CAST	207467_x_at
54	NF2	204991_s_at
56	PIK3C2B	204484_at
58	PCDH1	203918_at
61	LIMA1	217892_s_at
62	ITPRID2	202506_at
64	MKNK2	218205_s_at
65	CST1	206224_at
66	PMEPA1	217875_s_at
67	LIPA	201847_at
68	LXN	218729_at
69	FAS	204780_s_at
70	EPHB2	209588_at
72	FN1	210495_x_at
73	SCD	200831_s_at
74	TNFSF9	206907_at
75	CDS1	205709_s_at
76	GLS	203157_s_at
77	GFPT2	205100_at
78	CXCL8	202859_x_at
79	RHOQ	212117_at
80	TMC6	204328_at
81	SERPINE2	212190_at
82	RAP2B	213923_at
83	SEPTIN2	200015_s_at
84	SLC2A1	201249_at
85	PDCD4	202730_s_at
87	CALB2	205428_s_at
88	MAP1B	212233_at
89	TNFSF15	221085_at
91	SERPINE1	202627_s_at
92	PLA2R1	207415_at
93	DYRK1B	204954_s_at
95	EFR3B	215328_at
96	ABCG2	209735_at
97	FAM102A	212400_at
98	CSF2RA	207085_x_at
100	C1S	208747_s_at
101	SPP1	209875_s_at
102	CCL2	216598_s_at
103	SH3TC2	219710_at
104	TNFAIP2	202509_s_at
105	TSPYL1	221493_at
106	COBL	213050_at
107	ITGA3	201474_s_at
108	NPC2	200701_at
111	MAP2K3	207667_s_at
113	FASN	212218_s_at
114	MYH14	217545_at
115	TMOD2	219701_at
118	KCNAB2	203402_at
119	COL5A2	221729_at
120	ALS2CL	222333_at
121	SLC39A8	209266_s_at
122	CYFIP2	215785_s_at
123	UBE2H	217799_x_at
124	PLEKHA2	217677_at
125	RND3	212724_at
126	MAGED1	209014_at
127	IGFBP7	201162_at
128	MAP2	210015_s_at
130	JUP	201015_s_at
131	RDH11	217042_at
132	TGFA	205015_s_at
133	GULP1	204235_s_at
134	LRRFIP2	218364_at
135	DSE	218854_at
137	SLC35C1	218485_s_at
138	FGF2	204421_s_at
139	NR5A2	208337_s_at
140	KCNJ2	206765_at
141	KCNB1	211006_s_at
143	HERC4	208054_at
144	TOM1L2	214840_at
145	GNA12	221737_at
146	STC1	204595_s_at
147	PXN	201087_at
148	TNFRSF10B	209294_x_at
149	TFPI2	209277_at
150	NACC2	212993_at
151	PAM	202336_s_at
152	DAB2	201278_at
153	TSPYL5	213122_at
154	EMP1	201324_at
156	PSAP	200866_s_at
157	NCS1	218266_s_at
158	TAPBP	208829_at
159	STX3	209238_at
160	NDST1	202607_at
161	HSPB8	221667_s_at
162	MGAM	206522_at
163	RAB11A	200863_s_at
164	PCDHA12	210674_s_at
165	TIMP2	203167_at
166	GYS1	201673_s_at
167	BDNF	206382_s_at
168	TRIB1	202241_at
169	KCNN4	204401_at
170	PROS1	207808_s_at
171	AKIRIN1	215029_at
172	PRSS23	202458_at
173	DBNDD1	222234_s_at
174	CLU	208791_at
175	MEF2D	203003_at
176	TPP1	200742_s_at
177	ZNF529	215307_at
178	SFT2D2	214838_at
179	LAMB3	209270_at
180	GCNT2	211020_at
181	FGFBP1	205014_at
182	CPPED1	218610_s_at
183	BTG2	201235_s_at
186	TPCN1	217914_at
187	ALDH1A3	203180_at
188	PPP3CA	202425_x_at
189	RARRES1	206391_at
190	GALNT2	217787_s_at
192	COTL1	221059_s_at
193	S100A4	203186_s_at
194	KDM5B	201547_at
196	FGB	204988_at
197	PPP6R2	202791_s_at
199	RRAGD	221523_s_at
200	SFXN3	217226_s_at
201	NABP1	219334_s_at
203	PI4K2A	209345_s_at
204	PLPPR2	218509_at
205	CCNG2	202769_at
206	NEAT1	214657_s_at
207	CYB5B	201633_s_at
208	TSPAN14	221002_s_at
209	MORF4L1	217982_s_at
210	COL4A6	210945_at
211	PINK1	209018_s_at
212	HSD17B12	217869_at
214	GLIPR1	204221_x_at
215	EGLN3	219232_s_at
216	TRIM22	213293_s_at
217	MVP	202180_s_at
218	CTSC	201487_at
219	SLC2A6	220091_at
220	HMGCR	202539_s_at
221	TNFRSF10D	210654_at
222	PTEN	204053_x_at
223	SYNGR2	201079_at
224	ALDH1A2	207015_s_at
226	PRNP	201300_s_at
227	PTPRD	205712_at
228	SYNPO	202796_at
230	TLR4	221060_s_at
231	MICALL1	221779_at
232	M6PR	200900_s_at
234	DCLK2	216724_at
235	C1RL	218983_at
236	EPB41L4A	220119_at
237	GSK3B	209945_s_at
238	SESN1	218346_s_at
239	CTSA	200661_at
240	NAV3	204823_at
241	FAM222B	218464_s_at
242	TSPAN15	218693_at
243	GAB2	203853_s_at
244	ITGA5	201389_at
250	KDM6B	213146_at
252	ITGB8	205816_at
253	PIK3R3	202743_at
254	ATP6V0A1	205095_s_at
255	EPS8L2	218180_s_at
259	GOLGA2	204384_at
260	GLRX	206662_at
261	SLC25A16	209910_at
262	MXD1	206877_at
263	CHPF2	221799_at
265	PCSK6	207414_s_at
266	DAP	201095_at
267	CAV1	203065_s_at
268	FURIN	201945_at
269	PITPNA	201190_s_at
270	CDK7	211297_s_at
271	SOCS5	208127_s_at
273	AHCYL2	212814_at
274	IGF2BP3	203819_s_at
275	GFOD1	219821_s_at
277	GDPD5	213343_s_at
279	SCARB2	201646_at
280	POLD4	202996_at
281	OSTM1	218196_at
282	MSX2	205555_s_at
283	PXDC1	212923_s_at
284	SEC24D	202375_at
285	ACSL3	201660_at
286	F11R	221664_s_at
287	ABHD3	213017_at
291	SLC22A5	205074_at
292	LGALS3	208949_s_at
293	DSC3	206032_at
294	FRMD8	210043_at
295	HMGCS1	205822_s_at
296	AGAP1	204066_s_at
297	MAPK8IP3	213177_at
300	SEC24A	212900_at
301	ABL2	206411_s_at
302	SLC39A7	202667_s_at
303	WWTR1	202132_at
304	KIF3C	203389_at
305	SFN	209260_at
306	DUSP6	208891_at
307	GRN	200678_x_at
308	TMCC1	213349_at
309	LRP12	219631_at
310	STRA6	221701_s_at
311	CACNA1G	207869_s_at
313	RAB15	221810_at
314	SCARA3	219416_at
315	KDSR	202419_at
316	SHC1	201469_s_at
