V1	probe_id
1	SYPL1	201259_s_at
2	NTRK3	206462_s_at
3	CPLX2	206368_at
4	PLA2G4A	210145_at
5	DHFR	202532_s_at
6	KIF23	204709_s_at
7	MCM5	201755_at
8	NCAPG2	219588_s_at
9	EGR1	201693_s_at
10	DDX21	208152_s_at
11	STMN1	200783_s_at
12	PHGDH	201397_at
13	DNAJC9	213088_s_at
14	KIF20A	218755_at
15	FANCI	213007_at
16	TPX2	210052_s_at
17	PBK	219148_at
18	HJURP	218726_at
20	SPAG5	203145_at
22	CCNA2	203418_at
23	TMBIM6	200803_s_at
24	DLGAP5	203764_at
25	ANP32E	208103_s_at
26	NUCKS1	217802_s_at
27	ZWINT	204026_s_at
28	WDR76	205519_at
29	FHL1	201539_s_at
30	MCM6	201930_at
31	CELSR1	204539_s_at
32	CADM1	209030_s_at
33	SHCBP1	219493_at
34	CSGALNACT1	219049_at
35	IGFBP4	201508_at
36	TESC	218872_at
37	CDK1	203213_at
38	HELLS	220085_at
39	MCM7	208795_s_at
41	LMNB1	203276_at
42	KIF4A	218355_at
44	PTPRJ	210173_at
46	RACGAP1	222077_s_at
48	MELK	204825_at
49	SH3GL1	201851_at
50	KIF22	202183_s_at
51	RRM1	201476_s_at
52	DSN1	219512_at
53	MCM10	220651_s_at
54	KIFC1	209680_s_at
55	ATAD2	218782_s_at
56	AKAP12	210517_s_at
57	KIF11	204444_at
58	TPM1	206116_s_at
59	OAS3	218400_at
60	BUB1	209642_at
61	CDC6	203967_at
62	NEK2	204641_at
63	TDG	203742_s_at
64	POLA1	204835_at
66	LTBP4	204442_x_at
67	FOXM1	202580_x_at
68	TOP2A	201291_s_at
69	USP1	202412_s_at
70	CPNE3	202118_s_at
71	HMMR	207165_at
72	CEP55	218542_at
73	PAFAH1B2	210160_at
74	RASSF2	203185_at
75	MCM3	201555_at
76	PTBP1	202189_x_at
79	GINS4	211767_at
80	BUB1B	203755_at
81	YWHAZ	200638_s_at
82	PLK1	202240_at
84	EZH2	203358_s_at
86	CLSPN	219621_at
87	CDC45	204126_s_at
88	TIMELESS	203046_s_at
89	HNRNPK	200097_s_at
90	SMC2	204240_s_at
92	RFC5	203209_at
93	CNKSR2	206731_at
94	CENPU	218883_s_at
96	FASTKD5	219016_at
97	DTL	218585_s_at
98	MCM2	202107_s_at
101	RFC3	204127_at
102	KIF2C	209408_at
103	DSP	200606_at
104	CACNA1H	205845_at
105	WDR62	215218_s_at
106	RRM2	201890_at
108	PSAT1	220892_s_at
109	NCAPH	212949_at
110	PRPF3	202251_at
111	WDHD1	204727_at
112	SIRT1	218878_s_at
113	CRIM1	202551_s_at
114	PHLDB1	212134_at
115	TFRC	207332_s_at
116	QRICH1	209174_s_at
117	EXO1	204603_at
118	C3orf14	219288_at
119	CSE1L	201111_at
122	MTA2	203444_s_at
123	DNA2	213647_at
124	ORC1	205085_at
126	ARHGAP11A	204492_at
127	CENPF	207331_at
129	DNMT1	201697_s_at
130	XPOT	212160_at
131	MSH6	202911_at
132	HMGB1	200679_x_at
133	CIT	212801_at
134	TROAP	204649_at
135	NRP1	210510_s_at
136	TGFB1	203084_at
137	GADD45B	207574_s_at
138	POLD3	212836_at
139	NCAPG	218662_s_at
140	ESPL1	204817_at
141	BLM	205733_at
142	FKBP5	204560_at
143	PLK4	204886_at
145	TRIP13	204033_at
146	NUP50	213682_at
147	CDCA3	221436_s_at
148	UBE2V2	209096_at
149	USP22	200083_at
150	ERCC6L	219650_at
151	BRCA1	204531_s_at
153	DEK	200934_at
154	GINS2	221521_s_at
155	CCNB2	202705_at
156	JADE1	218517_at
157	PAWR	204004_at
158	CCDC106	207006_s_at
159	RFC4	204023_at
160	CDH11	207172_s_at
163	CCNB1	214710_s_at
164	E2F8	219990_at
165	MCM4	212141_at
166	DIAPH3	220997_s_at
167	SKA1	217640_x_at
168	EDEM3	220342_x_at
169	KCTD15	218553_s_at
170	KIF14	206364_at
171	TUBA1B	201090_x_at
172	TUBB	209026_x_at
173	SMC3	209257_s_at
176	SLC1A4	209610_s_at
178	CPE	201116_s_at
179	WEE1	212533_at
180	IDH2	210045_at
181	CBX1	201518_at
182	COCH	205229_s_at
184	ADCY9	204497_at
185	ARMC1	218185_s_at
186	KIF18B	222039_at
187	CYP24A1	206504_at
189	SFRP1	202035_s_at
190	XRCC5	208642_s_at
191	OLFML2A	213075_at
192	CDT1	209832_s_at
193	KIF20B	205235_s_at
195	RBMS1	203748_x_at
196	PSIP1	205961_s_at
197	NASP	201969_at
198	CENPN	219555_s_at
199	TAF9B	221616_s_at
200	ADAMTS9	220287_at
201	TOPBP1	202633_at
202	PCNA	201202_at
203	MARS1	201475_x_at
204	KNTC1	206316_s_at
206	ID1	208937_s_at
208	ARPIN	217548_at
209	FEN1	204767_s_at
210	BIRC5	202094_at
211	LARP6	218651_s_at
212	MYBL2	201710_at
213	PTTG1	203554_x_at
214	LIG1	202726_at
215	UNG	202330_s_at
216	CENPI	207590_s_at
218	SARAF	200847_s_at
219	E2F1	2028_s_at
