V1	probe_id
2	KRT19	201650_at
3	CTSB	200838_at
4	MUC13	218687_s_at
5	IGFBP5	203424_s_at
6	MFGE8	210605_s_at
8	SGK1	201739_at
10	LBH	221011_s_at
11	LAMA4	202202_s_at
13	GCNT3	219508_at
14	CDKN1A	202284_s_at
15	MXD4	210778_s_at
16	SLC16A4	205234_at
17	ALDH1B1	209645_s_at
18	CD70	206508_at
19	MDM2	205385_at
20	GPRC5A	203108_at
21	C1orf116	219476_at
23	LGALS3BP	200923_at
24	ITGB4	204989_s_at
26	NEFL	221801_x_at
27	PLEKHM1	212700_x_at
28	MELTF	220043_s_at
29	DHCR24	200862_at
30	CTSL	202087_s_at
31	C3	217767_at
33	ANKRD1	206029_at
34	ADAM23	206046_at
35	LTBP2	204682_at
36	PAPSS2	203058_s_at
37	FBN2	203184_at
38	THBD	203887_s_at
39	DIO2	203699_s_at
40	GPX2	202831_at
41	CD59	200983_x_at
42	ABCA1	203504_s_at
45	SERPINB7	206421_s_at
46	SLC46A3	214719_at
47	CAST	207467_x_at
48	NF2	204991_s_at
50	PIK3C2B	204484_at
51	PCDH1	203918_at
53	LIMA1	217892_s_at
54	ITPRID2	202506_at
55	MKNK2	218205_s_at
56	PMEPA1	217875_s_at
57	LIPA	201847_at
58	FAS	204780_s_at
59	EPHB2	209588_at
61	FN1	210495_x_at
62	SCD	200831_s_at
63	TNFSF9	206907_at
64	CDS1	205709_s_at
65	GLS	203157_s_at
66	GFPT2	205100_at
67	CXCL8	202859_x_at
68	RHOQ	212117_at
69	TMC6	204328_at
70	SERPINE2	212190_at
71	RAP2B	213923_at
72	SEPTIN2	200015_s_at
73	SLC2A1	201249_at
74	PDCD4	202730_s_at
76	MAP1B	212233_at
78	SERPINE1	202627_s_at
79	PLA2R1	207415_at
80	DYRK1B	204954_s_at
82	EFR3B	215328_at
83	FAM102A	212400_at
85	C1S	208747_s_at
86	SPP1	209875_s_at
87	CCL2	216598_s_at
88	TNFAIP2	202509_s_at
89	TSPYL1	221493_at
90	ITGA3	201474_s_at
91	NPC2	200701_at
94	MAP2K3	207667_s_at
96	FASN	212218_s_at
97	MYH14	217545_at
98	TMOD2	219701_at
101	KCNAB2	203402_at
102	COL5A2	221729_at
103	ALS2CL	222333_at
104	SLC39A8	209266_s_at
105	CYFIP2	215785_s_at
106	UBE2H	217799_x_at
107	PLEKHA2	217677_at
108	RND3	212724_at
109	MAGED1	209014_at
110	IGFBP7	201162_at
111	MAP2	210015_s_at
113	JUP	201015_s_at
114	RDH11	217042_at
115	TGFA	205015_s_at
116	GULP1	204235_s_at
117	LRRFIP2	218364_at
118	DSE	218854_at
120	SLC35C1	218485_s_at
121	FGF2	204421_s_at
122	NR5A2	208337_s_at
124	HERC4	208054_at
125	TOM1L2	214840_at
126	GNA12	221737_at
127	STC1	204595_s_at
128	PXN	201087_at
129	TNFRSF10B	209294_x_at
130	TFPI2	209277_at
131	NACC2	212993_at
132	PAM	202336_s_at
133	DAB2	201278_at
134	TSPYL5	213122_at
136	PSAP	200866_s_at
137	NCS1	218266_s_at
138	TAPBP	208829_at
139	STX3	209238_at
140	ANK2	202920_at
141	NDST1	202607_at
142	HSPB8	221667_s_at
143	RAB11A	200863_s_at
144	PCDHA12	210674_s_at
145	TIMP2	203167_at
146	GYS1	201673_s_at
147	PRRG4	207291_at
148	BDNF	206382_s_at
149	TRIB1	202241_at
150	KCNN4	204401_at
151	MOB3B	219265_at
152	PROS1	207808_s_at
153	AKIRIN1	215029_at
154	PRSS23	202458_at
155	DBNDD1	222234_s_at
156	CLU	208791_at
157	MEF2D	203003_at
158	TPP1	200742_s_at
159	ZNF529	215307_at
160	SFT2D2	214838_at
161	LAMB3	209270_at
162	GCNT2	211020_at
163	CPPED1	218610_s_at
164	BTG2	201235_s_at
165	MAPK4	204707_s_at
168	TPCN1	217914_at
169	PPP3CA	202425_x_at
170	GALNT2	217787_s_at
172	COTL1	221059_s_at
173	S100A4	203186_s_at
174	KDM5B	201547_at
176	PPP6R2	202791_s_at
178	SFXN3	217226_s_at
179	NABP1	219334_s_at
181	PI4K2A	209345_s_at
182	PLPPR2	218509_at
183	CCNG2	202769_at
184	NEAT1	214657_s_at
185	CYB5B	201633_s_at
186	TSPAN14	221002_s_at
187	MORF4L1	217982_s_at
188	COL4A6	210945_at
189	PINK1	209018_s_at
190	HSD17B12	217869_at
192	GLIPR1	204221_x_at
193	EGLN3	219232_s_at
194	MVP	202180_s_at
195	CTSC	201487_at
196	SLC2A6	220091_at
197	HMGCR	202539_s_at
198	TNFRSF10D	210654_at
199	PTEN	204053_x_at
200	SYNGR2	201079_at
201	IL33	209821_at
203	PRNP	201300_s_at
204	PTPRD	205712_at
205	SYNPO	202796_at
207	MICALL1	221779_at
208	M6PR	200900_s_at
210	DCLK2	216724_at
211	C1RL	218983_at
212	EPB41L4A	220119_at
213	GSK3B	209945_s_at
214	SESN1	218346_s_at
215	CTSA	200661_at
216	NAV3	204823_at
217	FAM222B	218464_s_at
218	TSPAN15	218693_at
219	GAB2	203853_s_at
220	ITGA5	201389_at
226	KDM6B	213146_at
228	ATP6V0A1	205095_s_at
229	EPS8L2	218180_s_at
232	GOLGA2	204384_at
233	ADD3	201034_at
234	GLRX	206662_at
235	SLC25A16	209910_at
236	MXD1	206877_at
237	CHPF2	221799_at
239	PCSK6	207414_s_at
240	DAP	201095_at
241	CAV1	203065_s_at
242	FURIN	201945_at
243	PITPNA	201190_s_at
244	CDK7	211297_s_at
245	SOCS5	208127_s_at
247	AHCYL2	212814_at
248	IGF2BP3	203819_s_at
249	GFOD1	219821_s_at
251	GDPD5	213343_s_at
252	SCARB2	201646_at
253	POLD4	202996_at
254	OSTM1	218196_at
255	MSX2	205555_s_at
256	PXDC1	212923_s_at
257	SEC24D	202375_at
258	ACSL3	201660_at
259	F11R	221664_s_at
260	SCG2	204035_at
261	SLC6A15	206376_at
262	ABHD3	213017_at
266	SLC22A5	205074_at
267	LGALS3	208949_s_at
268	DSC3	206032_at
269	FRMD8	210043_at
270	HMGCS1	205822_s_at
271	AGAP1	204066_s_at
272	MAPK8IP3	213177_at
275	SEC24A	212900_at
276	ABL2	206411_s_at
277	F3	204363_at
278	SLC39A7	202667_s_at
279	WWTR1	202132_at
280	RGS2	202388_at
281	KIF3C	203389_at
282	SFN	209260_at
283	DUSP6	208891_at
284	GRN	200678_x_at
285	TMCC1	213349_at
286	LRP12	219631_at
287	STRA6	221701_s_at
288	CACNA1G	207869_s_at
290	RAB15	221810_at
291	SCARA3	219416_at
292	P2RY2	206277_at
293	KDSR	202419_at
294	SHC1	201469_s_at
295	PRRG1	205618_at
296	ARL6IP5	200760_s_at
298	FOSL2	205409_at
299	GFPT1	202721_s_at
300	PGAP6	221882_s_at
301	PLAAT3	209581_at
302	CHST3	208252_s_at
303	CD151	204306_s_at
304	CMPK1	217870_s_at
305	S100A10	200872_at
306	EVPL	204503_at
307	NEDD4	213012_at
309	SLC25A37	218136_s_at
311	RNF13	201779_s_at
313	PRKX	204060_s_at
314	HSPG2	201654_s_at
